"","Mov10_kd_2","Mov10_kd_3","Mov10_oe_1","Mov10_oe_2","Mov10_oe_3","Irrel_kd_1","Irrel_kd_2","Irrel_kd_3"
"ABCA6",5.1024959111109,5.3396609165126,1.6672800882037,1.78692010593991,1.53315184239941,12.4760089317123,10.3950967615224,10.7115827344509
"ABCA7",357.812525766652,430.376669870916,367.635259448915,421.713145001819,398.619479023845,378.735985426981,355.512309244067,389.633821965653
"ABCA8",26.7881035333322,26.698304582563,43.3492822932961,50.0337629663175,39.8619479023845,44.5571747561154,47.8174451030031,65.6084442485119
"ABCA9",7.65374386666636,8.54345746642016,5.83548030871293,3.57384021187982,1.53315184239941,14.2582959219569,27.0272515799583,21.4231654689019
"ABCB1",544.691438511089,587.362700816386,746.107839471154,704.939981793295,786.506895150895,855.497755317415,814.975586103358,796.673965874788
"ABCB10",918.449263999963,1085.01909823536,1483.04563845719,1532.28399084347,1703.33169690574,1764.46412034217,1701.67733986122,1687.07428067602
"ABCB4",77.1752506555524,104.657353963647,185.06808979061,176.905090488051,206.97549872392,114.066367375655,106.029986967529,127.200044971605
"ABCB6",204.099836444436,247.760266526185,265.097534024388,286.800677003356,240.704839256707,237.935313197656,234.929186810407,251.722194259597
"ABCB7",1475.25913029994,1452.38776929143,1511.38939995665,1491.18482840686,1574.54694214419,1297.50492889808,1308.74268227567,1310.82993712843
"ABCB8",1130.84065629995,1124.53258901755,1033.71365468629,1046.24172202782,786.506895150895,1051.54932424432,998.968798782304,1072.4972212869
"ABCB9",220.682948155547,210.382640110596,199.239970540342,189.413531229631,147.182576870343,208.52757785862,225.573599725036,245.027455050565
"ABCC1",1855.3950756777,1952.18003107701,1814.00073596562,1829.80618848247,1755.45885954732,1748.42353742997,1792.11468168646,1851.7648652182
"ABCC10",583.59796983331,612.993073215646,579.379830650784,582.535954536411,510.539563519002,577.460984839255,570.690812207581,586.459154711188
"ABCC11",18.496547677777,13.8831183829328,10.837320573324,10.7215206356395,19.9309739511923,16.9317264073238,14.5531354661314,10.7115827344509
"ABCC2",120.546465899995,113.200811430067,71.6930437927589,67.0095039727467,70.5249847503726,109.610649900044,93.5558708537017,101.760035977284
"ABCC4",632.071680988863,676.001072030495,647.738314267136,628.995877290849,671.520506970939,675.486769302709,707.906089459677,723.031834575438
"ABCC5",2434.52836158879,2352.65459981545,1916.53846139015,1755.64900408596,1775.38983349851,2025.56916441301,1972.98936533695,1874.52697852891
"ABCC6",78.4508746333302,86.5025068475041,96.7022451158143,102.747906091545,113.453236337556,63.2711881536838,70.6866579783524,91.0484532428329
"ABCC6P1",22.9612315999991,20.2907114827479,30.8446816317684,35.7384021187982,32.1961886903875,16.0405829122015,19.7506838468926,21.4231654689019
"ABCC8",41.4577792777761,52.3286769818235,64.1902833958423,58.9683634960171,81.2570476471685,65.0534751439285,41.5803870460897,73.6421312993501
"ABCD1",262.778539422212,249.89613089279,201.740890672647,263.570715626137,167.113550821535,227.241591256188,259.87741903806,230.299028790695
"ABCD2",19.1343596666659,18.1548471161428,60.022083175333,56.2879833371072,52.1271626415798,45.4483182512377,41.5803870460897,58.9137050394801
"ABCD3",3213.93461201098,3082.05228101107,2667.64814112591,2629.45293589058,3287.07755010432,3184.94685156713,3213.12440898658,3054.14002716032
"ABCD4",1220.1343347444,1214.23889241497,1136.25138011082,1159.711148755,1067.07368230999,1216.41087084195,1178.80397275664,1317.52467633746
"ABCE1",4893.29357875536,4571.81767671809,3646.34155290148,3531.84758939024,4165.57355579918,4247.18989775292,4362.82211081096,4008.80983836826
"ABCF1",6862.21918845528,6623.31540084223,5131.88811149098,5178.49446701386,4752.77071143816,6347.6151157562,6002.12887010304,6125.68637626413
"ABCF2",4547.59948077759,4283.47598722641,2728.50386434535,2644.64175679107,2592.55976549739,3830.13474203568,3719.36562127272,3568.29599841397
