"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ABCB8",1030.606357687,-0.0993487213804374,0.0809870468153753,0.190776023192138,0.29724655130795
"ABCB9",205.753787442585,-0.244720303648429,0.120242926859008,0.0182738122350738,0.0437347546716368
"ABCC1",1824.89299688559,0.00479683438559747,0.055306102965969,0.928840116725751,0.954306850749136
"ABCC10",575.457167939147,-0.038306909158005,0.0785591979188204,0.604613202369593,0.710577292998678
"ABCC11",14.5082407285965,-0.0268767887908636,0.231237168170556,0.81543169430962,0.872196866207261
"ABCC2",93.4876708221212,-0.377381793348804,0.167853673008269,0.00310925023825676,0.00959117243742524
"ABCC4",670.344018110763,-0.102551431564826,0.0737406639347096,0.14248527249694,0.236398467974893
"ABCC5",2013.48072108222,-0.101908038327649,0.0575296690187043,0.0673889218056026,0.129038104915943
"ABCC6",87.8578835500773,0.318872002496413,0.166988207890636,0.0117280253200154,0.0300635817554283
"ABCC6P1",24.9057059689621,0.339139025827483,0.263925868788338,0.019404192216552,0.0459695234740551
"ABCC8",59.8097680359995,0.088424630217768,0.174082085061403,0.478140084785973,0.59952851336188
"ABCD1",232.814733315033,-0.122881391944757,0.120999018170616,0.238448391007517,0.352542735214739
"ABCD2",43.9586057842045,0.115361741632378,0.180462444371906,0.360063679252021,0.484064960338376
"ABCD3",3041.54710098211,-0.131887237406494,0.0683043534061492,0.0432501160528294,0.0897296831152746
"ABCD4",1188.7686197839,-0.126125804889748,0.0643087286294622,0.0411367622883039,0.0862391024328566
"ABCE1",4178.46197506206,-0.146813524279892,0.0609091192612004,0.0124266437584493,0.0315752243010704
"ABCF1",5878.01478017048,-0.28146796682635,0.0492563913975235,4.5978237323885e-09,5.67890366946538e-08
"ABCF2",3489.32215204502,-0.464039397708423,0.0523881868450115,6.26847761852334e-20,4.74458909402025e-18
"ABCF3",984.74282269701,-0.0932391271174463,0.0695492903192596,0.159958403154197,0.259778127519737
"ABCG1",111.645226638448,0.257193101462079,0.139958102607342,0.024730890430001,0.0563282139722747
"ABCG2",209.154682396458,-0.419231890862346,0.123012602925295,6.77908765311246e-05,0.000329726754637774
"ABCG4",140.676588913629,0.168552191663393,0.133736549296657,0.129749514669133,0.219247288682256
"ABHD1",44.331339536826,0.325786473974026,0.219280815305855,0.0198942571895391,0.0469052512611178
"ABHD10",2174.25809977611,-0.0188513289702068,0.0638526768193341,0.758823458296528,0.832790945421687
"ABHD11",495.487635721434,-0.0497346617114191,0.0834118309590296,0.523340923848501,0.640166650340914
"ABHD12",963.841571441324,-0.0304959689899477,0.0716202697565545,0.654552951055274,0.751098289243038
"ABHD13",607.34466747738,0.338105103110763,0.0805325333801153,6.86436244063075e-06,4.28395324534084e-05
"ABHD14A",101.411190650384,-0.0139099189229587,0.152587623302588,0.906891614053869,0.93891177480882
"ABHD14B",494.030550834185,0.758866989701653,0.107188520899546,4.00708556626772e-15,1.49802602738938e-13
"ABHD15",468.387020703085,0.114093252486069,0.0834755765191562,0.143201762119346,0.237228579510917
"ABHD16A",462.042937310127,0.0258743832596074,0.0839482466720626,0.741271595956708,0.818652702466524
"ABHD2",2098.27741091146,0.0965026027176622,0.0541944691604313,0.0669699510886327,0.128383443353318
"ABHD3",687.044992689915,-0.109169952616501,0.0776980649522333,0.13601993318019,0.227811889395425
"ABHD4",461.625530465192,0.0826033410598576,0.0882100265689004,0.312017185405012,0.433741432529449
"ABHD5",937.632017948212,-0.0489599781078713,0.0770791284965664,0.500975677865078,0.620165266709389
"ABHD6",244.770766604265,0.211159848169809,0.105171208664196,0.0246523415588082,0.0561742886031569
"ABHD8",541.711459302567,-0.131499821877052,0.0867105876113022,0.102281953227699,0.181368979958868
"ABI1",1527.17759332829,0.0526719993355198,0.063156281252809,0.386134890053474,0.511021755871803
"ABI2",3998.06204406383,-0.0833417029312938,0.0475222179912521,0.0731075370599424,0.138161812757749
"ABI3BP",40.8256956454239,0.555279654894479,0.283137634122512,0.000883210762602872,0.00320968149654521
"ABL1",2764.54542563349,-0.194175924800648,0.0503910434156984,7.74324490103292e-05,0.000371653236171927
"ABL2",1756.93483198628,0.679393165431378,0.0667819025996994,1.29546916911731e-26,1.99048837834875e-24
"ABLIM1",2729.52039865214,-0.288904549843258,0.0506011579607348,4.49241485139096e-09,5.56212362543288e-08
"ABLIM2",41.7953727066128,0.192859814467032,0.196201042616383,0.138468151371087,0.230955617218493
"ABLIM3",95.1075092763223,0.459781942058973,0.175340059594393,0.000488258090468205,0.0019069866700671
"ABR",1928.23590504986,-0.277485818390692,0.0590379095474542,1.09462417155386e-06,8.11722992081326e-06
"ABT1",1902.76781941124,-0.272127867802782,0.0626973608439414,6.15422695339841e-06,3.88814544156935e-05
"ABTB1",160.23955112722,0.18623648964212,0.122268996925407,0.075988713205519,0.142424591366753
"ABTB2",678.934644899976,0.00579616203884002,0.0772314048746198,0.936618991358923,0.958707001680757
"ACAA1",840.276411118555,-0.161595248133381,0.078870314400619,0.0292880054593872,0.0649646605866153
"ACAA2",877.2293240632,-0.060797018146361,0.0679141014236944,0.349258994419658,0.473266112466535
"ACACA",3870.23358125445,-0.0269607460023049,0.0518319342662685,0.593573641282446,0.701323584440084
"ACACB",472.772956181213,-0.0839826021251669,0.0850516769496052,0.289081455750174,0.408495459363169
"ACAD10",491.496882645731,0.304135744875562,0.0851617256013956,0.000116805135232524,0.000534140149657062
"ACAD11",97.1272117178062,0.22209588469608,0.154049190770981,0.0655254693806138,0.126212716188182
"ACAD8",607.321070575637,-0.0635052444272169,0.0757290809012887,0.375248685760774,0.49997333369692
"ACAD9",1725.31904225587,-0.272568924229389,0.0550057668069422,3.16202843961809e-07,2.64766032559847e-06
"ACADL",107.542182106882,-0.325603304610844,0.151463140185241,0.00676895261701232,0.0188006068258124
"ACADM",2094.10975537142,0.0993811907194865,0.0573779841829347,0.073760711370954,0.139152461706892
"ACADS",198.464541901832,0.270805623290494,0.122122050312923,0.00976391616788954,0.025763793906856
"ACADSB",1196.65990258589,-0.250984281363327,0.0626376956529924,3.0248801236677e-05,0.000160156041006734
"ACADVL",1325.91634736822,0.656100746203738,0.082730056196552,1.45038024646666e-17,7.76484058779104e-16
"ACAN",19.6511396222985,0.885943769913631,0.450120734524271,9.92406882960657e-05,0.000462771828731123
"ACAP2",1905.20523340942,-0.00866519882763142,0.0625456256625398,0.885625253433739,0.924368726242062
"ACAP3",992.855024092076,0.0834219442512957,0.0713438784659025,0.219216432377058,0.330351165503482
"ACAT1",2314.79371710194,-0.0111387195850706,0.0519756133176629,0.825949472396541,0.879909969202757
"ACAT2",2499.82205376823,0.000735211060951781,0.0518741940666304,0.988398129266555,0.992921690498896
"ACBD3",3436.14637247496,0.070772777014986,0.0554046474265995,0.188301289087649,0.294119071549429
"ACBD4",440.949822744974,0.171251955426492,0.0937947718541773,0.0461067281920117,0.0947605509189754
"ACBD5",1428.536532123,-0.20909286192676,0.0589842042633477,0.000241478744715561,0.00102381923635612
"ACBD6",1119.66738795198,-0.0396459335106958,0.062463940847306,0.509923938669233,0.628256059470192
"ACBD7",485.90122153102,-0.344521736129161,0.0866913293648224,1.67876586989454e-05,9.53928904989998e-05
"ACCN2",853.587012945728,0.627190558576634,0.0845885420553625,1.15425297690413e-15,4.72935919736851e-14
"ACCN3",75.4388528073259,0.22806925324347,0.176129517872148,0.074312479255394,0.139893560862427
"ACCN4",19.9703466316681,-0.113776570725467,0.285217750504041,0.239900674675794,0.354123726236293
"ACCS",117.985350415701,0.150342243294802,0.137099403083314,0.182935108319585,0.287850179146284
"ACD",407.50549455211,-0.23883590685351,0.0977679676225934,0.00706968201858747,0.0195229446828894
"ACE",151.402942204691,0.879357722109211,0.161396427297809,1.26778454268517e-10,2.08114417717496e-09
"ACE2",26.357883241537,0.102983078906143,0.207592578289909,0.412573394550507,0.537766390165298
"ACER2",83.3143840317199,0.339850175092948,0.167286458585173,0.00741333130208727,0.0203366962072078
"ACER3",826.645478243072,0.0355755050210565,0.0717061632187633,0.602073048271795,0.708544499155511
"ACHE",88.3952538012793,1.79003028389455,0.208518509826457,4.74355590683985e-21,4.23748468073223e-19
"ACIN1",6670.69613920002,-0.175816791889833,0.0532162138971044,0.000679421996620392,0.0025455544935558
"ACLY",13618.8239811838,-0.163392736454734,0.0431886427551888,0.000116590326559846,0.000533316572668064
"ACN9",644.45013313197,0.196700334509885,0.0772705632571971,0.00687178147224045,0.0190620910491017
"ACO1",816.156866264764,-0.232371158271062,0.0701862580752126,0.000499573343485103,0.00194376916248382
"ACO2",1985.24952087899,-0.180110724316617,0.0579385089409786,0.00130891581907928,0.00453063562968082
"ACOT1",52.5548481503988,0.052700534049,0.174940389424142,0.671789378300291,0.764765784810252
"ACOT11",73.9399733582725,-0.119679847289352,0.16332953942794,0.329367691748116,0.452217326420884
"ACOT13",989.0236719819,0.0715458953647312,0.0644971456479283,0.24818152883437,0.363216789177597
"ACOT2",299.173678720927,-0.0241550298100039,0.102557173483633,0.793706272695545,0.857495210235343
"ACOT7",1439.20322094948,-0.368690578380968,0.0658827078024498,4.44695072055118e-09,5.51027401784426e-08
"ACOT8",379.213309611627,-0.00646319508267712,0.0925110406525829,0.939418543797666,0.959918362293133
"ACOT9",617.295192305919,0.138708514348292,0.0749313665223306,0.0504043969752287,0.10182271358459
"ACOX1",1550.96809962459,-0.150038687622776,0.0607440513367003,0.0104300375976843,0.0272639550337563
"ACOX2",11.4442078074481,0.211533149123776,0.281975989594072,0.0872883467017114,0.159228950145055
"ACOX3",263.500794261756,-0.096378741755431,0.104834674922465,0.304776100976166,0.42579421635741
"ACOXL",92.1938022531821,-0.327475117441996,0.155773888461343,0.00734053896962098,0.0201730247305002
"ACP1",3086.03481370784,-0.114273970902227,0.0499709487586846,0.0191424589441534,0.0454877639463217
"ACP2",649.489243758785,-0.426347377576996,0.0799390103760257,1.06473870540091e-08,1.22185912239764e-07
"ACP6",566.724805910057,0.135520266432843,0.0794487963782294,0.0694484593235729,0.132440806442435
"ACPL2",705.320062171518,0.010593817643758,0.0731379869589446,0.878763680962433,0.919330289234547
"ACPP",88.5307976370499,-0.0143841251366099,0.14867144022462,0.902606270269227,0.936051926477232
